ID,genero,edad,provincia,bloque,votacion_final1,region
136,Varón,35,san luis,resto y provinciales,positivo,Cuyo
137,Mujer,38,buenos aires,JxC y aliados,positivo,Buenos Aires
138,Mujer,43,salta,FDT,positivo,NOA
139,Varón,59,santa fe,resto y provinciales,positivo,Centro
140,Mujer,64,tierra del fuego,FDT,positivo,Patagonia
141,Varón,46,neuquen,FDT,positivo,Patagonia
142,Mujer,54,ciudad autonoma de buenos aires,resto y provinciales,positivo,CABA
143,Mujer,41,tucuman,FDT,positivo,NOA
144,Varón,55,cordoba,FDT,positivo,Centro
145,Varón,53,entre rios,FDT,positivo,Centro
146,Mujer,55,ciudad autonoma de buenos aires,FDT,positivo,CABA
147,Varón,58,tucuman,FDT,positivo,NOA
148,Varón,38,santa fe,FDT,positivo,Centro
149,Mujer,61,catamarca,FDT,positivo,NOA
150,Varón,56,buenos aires,FDT,positivo,Buenos Aires
151,Varón,30,buenos aires,JxC y aliados,positivo,Buenos Aires
152,Varón,70,santiago del estero,FDT,positivo,NOA
153,Varón,48,ciudad autonoma de buenos aires,resto y provinciales,positivo,CABA
154,Varón,40,buenos aires,resto y provinciales,positivo,Buenos Aires
155,Varón,77,santa fe,resto y provinciales,positivo,Centro
156,Mujer,44,la pampa,FDT,positivo,Patagonia
157,Varón,66,rio negro,resto y provinciales,positivo,Patagonia
158,Varón,37,santa fe,resto y provinciales,positivo,Centro
159,Mujer,42,cordoba,FDT,positivo,Centro
160,Varón,29,buenos aires,FDT,positivo,Buenos Aires
161,Varón,61,buenos aires,resto y provinciales,positivo,Buenos Aires
162,Varón,68,cordoba,FDT,positivo,Centro
163,Varón,45,ciudad autonoma de buenos aires,JxC y aliados,positivo,CABA
164,Mujer,61,salta,FDT,positivo,NOA
165,Mujer,62,buenos aires,JxC y aliados,positivo,Buenos Aires
166,Varón,33,tierra del fuego,JxC y aliados,positivo,Patagonia
167,Mujer,39,entre rios,FDT,positivo,Centro
168,Varón,40,buenos aires,JxC y aliados,positivo,Buenos Aires
169,Varón,53,ciudad autonoma de buenos aires,JxC y aliados,positivo,CABA
170,Mujer,31,santa fe,resto y provinciales,positivo,Centro
171,Varón,58,buenos aires,resto y provinciales,positivo,Buenos Aires
172,Varón,38,salta,FDT,positivo,NOA
173,Mujer,44,santa fe,FDT,positivo,Centro
174,Varón,52,santa cruz,FDT,positivo,Patagonia
